,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH2_2_1/7.json,Timeout 10m,Timeout 10m,Segmentation Fault,Segmentation Fault,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,80,,,,,,,,,,,,,,,
,WH2_2_1/8.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,81,,,,,,,,,,,,,,,
,WH2_2_1/9.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,82,,,,,,,,,,,,,,,
,WH2_2_1/10.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,83,,,,,,,,,,,,,,,
,WH2_2_1/11.json,Timeout 10m,Timeout 10m,Segmentation Fault,Segmentation Fault,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,84,,,,,,,,,,,,,,,
,WH2_2_2/0.json,21.4414,27.27,27.5231,49.8304,21.2905,,"21,44","27,27","27,52","49,83","21,29",,85,,,,,,,,,,,,,,,
,WH2_2_2/1.json,0.216321,0.30594,3.17115,0.42026,0.234695,,"0,22","0,31","3,17","0,42","0,23",,86,,,,,,,,,,,,,,,
,WH2_2_2/2.json,342.201,317.833,Solution is not valid,Solution is not valid,309.185,,"342,20","317,83","600.000,00","600.000,00","309,19",,87,,,,,,,,,,,,,,,
,WH2_2_2/3.json,Timeout 10m,Timeout 10m,Segmentation Fault,Segmentation Fault,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,88,,,,,,,,,,,,,,,
,WH2_2_2/4.json,274.067,318.598,848.08,1535.34,423.925,,"274,07","318,60","848,08","1.535,34","423,93",,89,,,,,,,,,,,,,,,
,WH2_2_2/5.json,5453.86,5448.49,5961.46,12071.7,5453.86,,"5.453,86","5.448,49","5.961,46","12.071,70","5.453,86",,90,,,,,,,,,,,,,,,
,WH2_2_2/6.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,91,,,,,,,,,,,,,,,
,WH2_2_2/7.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,92,,,,,,,,,,,,,,,
,WH2_2_2/8.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,93,,,,,,,,,,,,,,,
,WH2_2_2/9.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,94,,,,,,,,,,,,,,,
,WH2_2_2/10.json,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,95,,,,,,,,,,,,,,,
,WH2_2_2/11.json,Timeout 10m,Timeout 10m,Segmentation Fault,Segmentation Fault,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,96,,,,,,,,,,,,,,,
,WH12/0.json,1.83087,1.87053,56.924,1.77261,1.53955,,"1,83","1,87","56,92","1,77","1,54",,97,,,,,,,,,,,,,,,
,WH12/1.json,341.693,6.41337,302.511,607.044,238.636,,"341,69","6,41","302,51","607,04","238,64",,98,,,,,,,,,,,,,,,
,WH12/2.json,8.85025,9.17498,1372.25,9.00765,9.18191,,"8,85","9,17","1.372,25","9,01","9,18",,99,,,,,,,,,,,,,,,
,WH12/3.json,3798.15,Error,7392.02,14972.9,10736.7,,"3.798,15","600.000,00","7.392,02","14.972,90","10.736,70",,100,,,,,,,,,,,,,,,
,WH12/4.json,3.16233,3.22149,95.2145,3.64789,3.39544,,"3,16","3,22","95,21","3,65","3,40",,101,,,,,,,,,,,,,,,
,WH12/5.json,336.345,11.5457,368.826,453.811,536.345,,"336,35","11,55","368,83","453,81","536,35",,102,,,,,,,,,,,,,,,
,WH12/6.json,Timeout 10m,Error,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,103,,,,,,,,,,,,,,,
,WH12/7.json,6871.32,Error,10363.4,19851.1,9234.24,,"6.871,32","600.000,00","10.363,40","19.851,10","9.234,24",,104,,,,,,,,,,,,,,,
,WH12/8.json,339.573,10.486,270.529,156.767,540.132,,"339,57","10,49","270,53","156,77","540,13",,105,,,,,,,,,,,,,,,
,WH12/9.json,Timeout 10m,Error,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,106,,,,,,,,,,,,,,,
,WH12/10.json,Timeout 10m,Error,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,107,,,,,,,,,,,,,,,
,WH12/11.json,Timeout 10m,Error,Timeout 10m,Timeout 10m,Timeout 10m,,"600.000,00","600.000,00","600.000,00","600.000,00","600.000,00",,108,,,,,,,,,,,,,,,
