,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH2_1/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,263.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,267.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,128.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,92.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,166.8MB,,,
,WH2_1/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,69.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,69.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,75.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,97.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,127.2MB,,,
,WH2_1/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,72.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,73.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,79.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,79.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,93.0MB,,,
,WH2_1/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,47.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,48.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,107.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,105.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,71.8MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_1_1/0.json,,0.719481,24,38,0.0MB,,0.708043,24,38,0.0MB,,9.6258,24,38,0.0MB,,0.83746,24,38,0.0MB,,0.538566,24,38,0.0MB,,,
,WH2_1_1/1.json,,83.4289,50,77,0.0MB,,72.8638,50,77,0.0MB,,61.8632,50,77,0.0MB,,138.208,50,77,8.3MB,,73.4116,50,77,0.0MB,,,
,WH2_1_1/2.json,,1.05309,61,106,0.0MB,,2.46971,61,106,0.0MB,,58.7252,61,106,0.0MB,,1.27959,61,106,0.0MB,,1.28173,61,106,0.0MB,,,
,WH2_1_13.json,,27520.9,125,232,14.4MB,,28167.9,125,232,14.2MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,29391.9,125,232,14.4MB,,,
,WH2_1_1/4.json,,Timeout 10m,Timeout 10m,Timeout 10m,304.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,302.4MB,,347959,22,68,48.1MB,,112519,22,68,34.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,2195.7MB,,,
,WH2_1_1/5.json,,Timeout 10m,Timeout 10m,Timeout 10m,214.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,217.5MB,,409545,30,103,61.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,61.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,191.6MB,,,
,WH2_1_1/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,167.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,170.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,93.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,93.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,178.4MB,,,
